SupplierID,Company Name,Contact,Company Location,Category,Rating
SPL-00074,Premium Seating Solutions Co.,Michael Smith,Johor Baharu,Bar Stools,3.6
SPL-00075,Outdoor Living Designs Ltd.,Jeff Garcia,Batu Pahat,Beds,3.6
SPL-00076,Luxury Living Spaces Ltd.,Michael Jones,Johor Baharu,Office Furniture,2.5
SPL-00077,Leather Heritage Furniture Makers LLC,Maria Johnson,Johor Baharu,Benches,2.6
SPL-00078,Plastic Modern Home Furnishings Inc.,Robert Brown,Kuala Lumpur,Office Furniture,4.2
SPL-00079,Premium Seating Solutions Inc.,Jeff Alice,Kuala Lumpur,Dining Sets,4.0
SPL-00080,Bedroom Bliss Creations Sdn Bhd,Robert Jones,Johor Baharu,Dining Sets,2.6
SPL-00081,Classic Comfort Interiors Co.,Michael Garcia,Kuala Lumpur,Sofas,4.0
SPL-00082,Outdoor Living Designs Sdn Bhd,Jeff Johnson,Kulai,Benches,2.6
SPL-00083,Heritage Furniture Makers Ltd.,Jane Alice,Johor Baharu,Bookcases,3.6
SPL-00084,Contemporary Style Co. LLC,Sarah Lee,Kuala Lumpur,Shelving,2.9
SPL-00085,Heritage Furniture Makers Sdn Bhd,Emma Lee,Muar,Bookcases,4.3
SPL-00086,Rattan Classic Comfort Interiors Corp.,Jane Jones,Muar,Beds,4.4
SPL-00087,Premium Seating Solutions Co.,Sarah Smith,Muar,Bookcases,3.3
SPL-00088,Contemporary Style Co. Inc.,Jeff Alice,Batu Pahat,Wardrobes,4.0
SPL-00089,Space Savers Furniture Corp.,Maria Johnson,Kuala Lumpur,Recliners,3.5
SPL-00090,Heritage Furniture Makers Inc.,Emma Lee,Johor Baharu,Sofas,3.2
SPL-00091,Artisan Woodworks Sdn Bhd,Sarah Lee,Kulai,Outdoor Furniture,3.4
SPL-00092,Bedroom Bliss Creations Co.,Emma Jones,Batu Pahat,Desks,3.1
SPL-00093,Bedroom Bliss Creations Inc.,Robert Brown,Kuala Lumpur,Recliners,3.7
SPL-00094,Plastic Bedroom Bliss Creations Co.,Jeff Johnson,Kuala Lumpur,Desks,3.1
SPL-00095,Wood Master Creations Corp.,Robert Jones,Johor Baharu,Chairs,3.9
SPL-00096,Bedroom Bliss Creations Inc.,Emma Johnson,Johor Baharu,Dining Sets,3.2
SPL-00097,Contemporary Style Co. Ltd.,John Jones,Muar,Sofas,4.6
SPL-00098,Artisan Woodworks Ltd.,John Williams,Kuala Lumpur,Benches,3.9
SPL-00099,Wood Classic Comfort Interiors LLC,Michael Brown,Kulai,Shelving,3.6
SPL-00100,Fabric Contemporary Style Co. Corp.,Jeff Smith,Kulai,Recliners,2.7
SPL-00101,Office Pro Furnishings Inc.,Jeff Johnson,Kuala Lumpur,Beds,2.9
SPL-00102,Elegant Living Designs Inc.,Emma Lee,Batu Pahat,Chairs,3.1
SPL-00103,Fabric Bedroom Bliss Creations Corp.,Jane Brown,Batu Pahat,Benches,4.5
SPL-00104,Metal Premium Seating Solutions Sdn Bhd,Michael Johnson,Kulai,Beds,4.1
SPL-00105,Wood Space Savers Furniture Corp.,John Williams,Batu Pahat,Dining Sets,4.4
SPL-00106,Premium Seating Solutions Corp.,Emma Jones,Muar,Desks,3.8
SPL-00107,Contemporary Style Co. Ltd.,John Garcia,Batu Pahat,Dining Sets,3.1
SPL-00108,Rattan Elegant Living Designs Inc.,John Jones,Kulai,Chairs,4.4
SPL-00109,Wood Master Creations Ltd.,Emma Jones,Kuala Lumpur,Dining Sets,3.6
SPL-00110,Fabric Outdoor Living Designs Ltd.,Sarah Garcia,Batu Pahat,Cabinets,4.2
SPL-00111,Outdoor Living Designs Inc.,Emma Jones,Muar,Bookcases,4.4
SPL-00112,Comfort Craft Furniture Ltd.,Jeff Alice,Johor Baharu,Benches,3.5
SPL-00113,Heritage Furniture Makers LLC,Emma Garcia,Johor Baharu,Beds,3.8
SPL-00114,Premium Seating Solutions Ltd.,John Brown,Batu Pahat,Outdoor Furniture,2.8
SPL-00115,Fabric Classic Comfort Interiors Ltd.,Jane Smith,Kulai,Benches,3.1
SPL-00116,Wood Master Creations Corp.,Michael Johnson,Kuala Lumpur,Bookcases,4.8
SPL-00117,Contemporary Style Co. LLC,Robert Lee,Batu Pahat,Outdoor Furniture,4.3
SPL-00118,Metal Artisan Woodworks Ltd.,Emma Williams,Muar,Beds,4.8
SPL-00119,Rattan Heritage Furniture Makers Sdn Bhd,Jane Jones,Muar,Cabinets,4.8
SPL-00120,Leather Heritage Furniture Makers Corp.,Jeff Lee,Kuala Lumpur,Office Furniture,3.8
SPL-00121,Luxury Living Spaces Corp.,Michael Lee,Batu Pahat,Bookcases,3.0
SPL-00122,Bedroom Bliss Creations Inc.,Maria Garcia,Johor Baharu,Cabinets,4.4
SPL-00123,Bedroom Bliss Creations Ltd.,Robert Lee,Johor Baharu,Tables,3.8
SPL-00124,Rattan Premium Seating Solutions Corp.,Emma Johnson,Kulai,Wardrobes,3.6
SPL-00125,Bedroom Bliss Creations Inc.,Robert Johnson,Muar,Benches,4.9
SPL-00126,Luxury Living Spaces Co.,Jane Alice,Kulai,Shelving,4.9
SPL-00127,Fabric Table Masters Inc. Sdn Bhd,John Johnson,Kuala Lumpur,Bar Stools,4.2
SPL-00128,Fabric Classic Comfort Interiors Inc.,Jane Johnson,Muar,Tables,4.2
SPL-00129,Space Savers Furniture LLC,John Jones,Batu Pahat,Cabinets,3.6
SPL-00130,Modern Home Furnishings Co.,Robert Williams,Kuala Lumpur,Sofas,4.0
SPL-00131,Artisan Woodworks Co.,Emma Williams,Kuala Lumpur,Office Furniture,4.1
SPL-00132,Contemporary Style Co. Corp.,Emma Jones,Kulai,Tables,2.7
SPL-00133,Luxury Living Spaces Co.,Michael Jones,Muar,Bookcases,3.3
SPL-00134,Artisan Woodworks Ltd.,Michael Alice,Kulai,Desks,5.0
SPL-00135,Glass Classic Comfort Interiors LLC,Michael Jones,Johor Baharu,Dining Sets,4.7
SPL-00136,Plastic Office Pro Furnishings Sdn Bhd,Emma Jones,Kuala Lumpur,Dining Sets,4.5
SPL-00137,Modern Home Furnishings Sdn Bhd,Jeff Williams,Johor Baharu,Wardrobes,4.1
SPL-00138,Wood Comfort Craft Furniture Corp.,Sarah Williams,Johor Baharu,Wardrobes,3.2
SPL-00139,Bedroom Bliss Creations Ltd.,Robert Alice,Kulai,Outdoor Furniture,4.8
SPL-00140,Outdoor Living Designs Inc.,Emma Jones,Batu Pahat,Benches,2.8
SPL-00141,Metal Elegant Living Designs Inc.,Michael Alice,Johor Baharu,Benches,3.5
SPL-00142,Classic Comfort Interiors Co.,Sarah Jones,Kulai,Shelving,4.6
SPL-00143,Luxury Living Spaces LLC,Emma Smith,Kulai,Wardrobes,4.9
SPL-00144,Luxury Living Spaces Co.,Jane Lee,Batu Pahat,Bar Stools,3.5
SPL-00145,Leather Wood Master Creations LLC,Emma Johnson,Johor Baharu,Beds,4.7
SPL-00146,Wood Master Creations Ltd.,Michael Williams,Muar,Bar Stools,2.7
SPL-00147,Contemporary Style Co. Co.,Jeff Smith,Batu Pahat,Beds,3.6
SPL-00148,Modern Home Furnishings Corp.,Sarah Alice,Johor Baharu,Shelving,3.2
SPL-00149,Elegant Living Designs Ltd.,Maria Smith,Johor Baharu,Benches,3.3
SPL-00150,Wood Master Creations Co.,Maria Brown,Kuala Lumpur,Cabinets,4.4
SPL-00151,Office Pro Furnishings Co.,Robert Williams,Kulai,Desks,4.5
SPL-00152,Metal Elegant Living Designs Sdn Bhd,John Alice,Kuala Lumpur,Dining Sets,3.3
SPL-00153,Wood Master Creations Corp.,Michael Johnson,Johor Baharu,Office Furniture,3.6
SPL-00154,Luxury Living Spaces Co.,Emma Brown,Kulai,Chairs,4.3
SPL-00155,Space Savers Furniture Sdn Bhd,Emma Smith,Johor Baharu,Office Furniture,4.6
SPL-00156,Artisan Woodworks Sdn Bhd,Emma Johnson,Johor Baharu,Cabinets,4.0
SPL-00157,Elegant Living Designs Inc.,Sarah Garcia,Kulai,Outdoor Furniture,3.2
SPL-00158,Heritage Furniture Makers Co.,Jane Brown,Muar,Office Furniture,4.7
SPL-00159,Fabric Artisan Woodworks Corp.,Michael Johnson,Batu Pahat,Shelving,3.3
SPL-00160,Glass Classic Comfort Interiors Corp.,Emma Johnson,Johor Baharu,Bookcases,2.7
SPL-00161,Leather Artisan Woodworks LLC,Robert Smith,Kulai,Outdoor Furniture,3.9
SPL-00162,Table Masters Inc. LLC,Michael Smith,Batu Pahat,Dining Sets,3.3
SPL-00163,Elegant Living Designs Co.,Robert Lee,Kuala Lumpur,Bookcases,2.8
SPL-00164,Outdoor Living Designs Co.,Jeff Brown,Muar,Bookcases,3.9
SPL-00165,Office Pro Furnishings Co.,John Jones,Johor Baharu,Tables,3.2
SPL-00166,Leather Office Pro Furnishings Corp.,John Williams,Kuala Lumpur,Dining Sets,4.1
SPL-00167,Wood Elegant Living Designs Inc.,Jane Brown,Muar,Shelving,3.6
SPL-00168,Wood Master Creations Corp.,Sarah Johnson,Johor Baharu,Tables,2.9
SPL-00169,Premium Seating Solutions LLC,Jeff Lee,Muar,Office Furniture,4.0
SPL-00170,Artisan Woodworks Corp.,Jane Alice,Muar,Sofas,3.2
SPL-00171,Table Masters Inc. Co.,Jeff Smith,Kuala Lumpur,Shelving,5.0
SPL-00172,Comfort Craft Furniture LLC,Maria Williams,Batu Pahat,Desks,3.3
SPL-00173,Metal Comfort Craft Furniture Ltd.,Robert Garcia,Kulai,Recliners,3.1
SPL-00174,Wood Heritage Furniture Makers Sdn Bhd,Michael Smith,Muar,Chairs,3.6
SPL-00175,Elegant Living Designs Corp.,Michael Garcia,Batu Pahat,Sofas,3.5
SPL-00176,Plastic Luxury Living Spaces Inc.,Emma Alice,Johor Baharu,Shelving,4.6
SPL-00177,Modern Home Furnishings Ltd.,Jane Garcia,Batu Pahat,Recliners,3.3
SPL-00178,Luxury Living Spaces Inc.,Jane Brown,Batu Pahat,Cabinets,4.3
SPL-00179,Metal Outdoor Living Designs Sdn Bhd,Jane Williams,Batu Pahat,Beds,2.9
SPL-00180,Wood Master Creations Sdn Bhd,Emma Lee,Kulai,Benches,3.9
SPL-00181,Table Masters Inc. Co.,Sarah Alice,Kuala Lumpur,Office Furniture,2.7
SPL-00182,Contemporary Style Co. Sdn Bhd,Jeff Smith,Batu Pahat,Outdoor Furniture,2.7
SPL-00183,Contemporary Style Co. Ltd.,Sarah Jones,Johor Baharu,Bar Stools,4.7
SPL-00184,Outdoor Living Designs LLC,Michael Lee,Kulai,Outdoor Furniture,4.9
SPL-00185,Bedroom Bliss Creations LLC,Maria Alice,Kulai,Office Furniture,3.8
SPL-00186,Comfort Craft Furniture Ltd.,Sarah Johnson,Kulai,Bar Stools,2.9
SPL-00187,Modern Home Furnishings Sdn Bhd,Emma Williams,Batu Pahat,Cabinets,4.8
SPL-00188,Glass Artisan Woodworks Ltd.,John Alice,Johor Baharu,Cabinets,2.7
SPL-00189,Table Masters Inc. Ltd.,Robert Alice,Johor Baharu,Dining Sets,4.2
SPL-00190,Space Savers Furniture Corp.,Michael Williams,Kulai,Recliners,4.8
SPL-00191,Classic Comfort Interiors Co.,Sarah Williams,Kulai,Sofas,4.1
SPL-00192,Artisan Woodworks Co.,Sarah Jones,Kuala Lumpur,Beds,3.4
SPL-00193,Office Pro Furnishings Ltd.,Robert Williams,Johor Baharu,Desks,4.6
SPL-00194,Rattan Elegant Living Designs Co.,John Alice,Kulai,Tables,4.0
SPL-00195,Wood Master Creations Inc.,Robert Lee,Johor Baharu,Shelving,3.4
SPL-00196,Plastic Bedroom Bliss Creations Inc.,Jeff Lee,Kuala Lumpur,Outdoor Furniture,3.1
SPL-00197,Metal Office Pro Furnishings Ltd.,Sarah Lee,Muar,Benches,3.2
SPL-00198,Artisan Woodworks Co.,Robert Brown,Kulai,Tables,4.7
SPL-00199,Comfort Craft Furniture Sdn Bhd,Sarah Johnson,Kulai,Bookcases,2.8
SPL-00200,Elegant Living Designs Inc.,Robert Garcia,Johor Baharu,Wardrobes,3.1
SPL-00201,Fabric Contemporary Style Co. Corp.,John Garcia,Kulai,Cabinets,3.1
SPL-00202,Elegant Living Designs Corp.,Sarah Johnson,Batu Pahat,Benches,2.9
SPL-00203,Fabric Comfort Craft Furniture Corp.,Robert Lee,Muar,Dining Sets,2.5
SPL-00204,Elegant Living Designs LLC,Robert Garcia,Johor Baharu,Benches,3.2
SPL-00205,Classic Comfort Interiors LLC,Michael Lee,Johor Baharu,Sofas,4.6
SPL-00206,Contemporary Style Co. Co.,Maria Williams,Batu Pahat,Shelving,2.5
SPL-00207,Luxury Living Spaces Inc.,Robert Johnson,Kulai,Cabinets,2.7
SPL-00208,Heritage Furniture Makers Co.,John Garcia,Muar,Chairs,4.1
SPL-00209,Leather Luxury Living Spaces Corp.,Jane Alice,Kuala Lumpur,Recliners,4.1
SPL-00210,Leather Elegant Living Designs Co.,Robert Smith,Batu Pahat,Outdoor Furniture,3.3
SPL-00211,Glass Table Masters Inc. Inc.,Emma Lee,Kuala Lumpur,Benches,2.8
SPL-00212,Bedroom Bliss Creations Ltd.,Maria Smith,Kuala Lumpur,Wardrobes,2.6
SPL-00213,Space Savers Furniture Corp.,Emma Jones,Johor Baharu,Benches,4.1
SPL-00214,Wood Classic Comfort Interiors Corp.,Sarah Jones,Johor Baharu,Benches,3.4
SPL-00215,Fabric Space Savers Furniture Ltd.,Sarah Williams,Muar,Recliners,3.7
SPL-00216,Space Savers Furniture Co.,Jane Garcia,Johor Baharu,Shelving,4.0
SPL-00217,Outdoor Living Designs Inc.,Sarah Johnson,Johor Baharu,Cabinets,4.2
SPL-00218,Classic Comfort Interiors Ltd.,Michael Williams,Muar,Cabinets,3.6
SPL-00219,Bedroom Bliss Creations Corp.,Michael Jones,Johor Baharu,Sofas,4.2
SPL-00220,Artisan Woodworks Corp.,Robert Smith,Kuala Lumpur,Bookcases,4.0
SPL-00221,Office Pro Furnishings Ltd.,Jane Brown,Batu Pahat,Cabinets,3.5
SPL-00222,Premium Seating Solutions LLC,Emma Alice,Batu Pahat,Office Furniture,4.4
SPL-00223,Premium Seating Solutions Inc.,Michael Alice,Batu Pahat,Beds,4.9
SPL-00224,Comfort Craft Furniture Sdn Bhd,Michael Johnson,Batu Pahat,Benches,3.2
SPL-00225,Leather Contemporary Style Co. Inc.,Emma Brown,Johor Baharu,Tables,4.6
SPL-00226,Fabric Contemporary Style Co. Inc.,Jane Alice,Batu Pahat,Recliners,2.7
SPL-00227,Rattan Heritage Furniture Makers Corp.,Robert Williams,Batu Pahat,Outdoor Furniture,3.1
SPL-00228,Modern Home Furnishings Inc.,Emma Smith,Batu Pahat,Outdoor Furniture,3.9
SPL-00229,Contemporary Style Co. Co.,Jane Johnson,Batu Pahat,Shelving,5.0
SPL-00230,Bedroom Bliss Creations Ltd.,Michael Johnson,Kuala Lumpur,Cabinets,4.1
SPL-00231,Contemporary Style Co. Ltd.,Sarah Williams,Kulai,Bar Stools,4.0
SPL-00232,Office Pro Furnishings Inc.,John Johnson,Kulai,Tables,3.3
SPL-00233,Metal Wood Master Creations Corp.,Sarah Jones,Johor Baharu,Desks,3.0
SPL-00234,Heritage Furniture Makers Corp.,Jeff Johnson,Kulai,Bar Stools,2.9
SPL-00235,Premium Seating Solutions Inc.,Sarah Smith,Johor Baharu,Sofas,2.6
SPL-00236,Table Masters Inc. Co.,Maria Garcia,Kulai,Bar Stools,2.6
SPL-00237,Space Savers Furniture Sdn Bhd,Jeff Lee,Kuala Lumpur,Benches,4.5
SPL-00238,Artisan Woodworks Corp.,John Williams,Muar,Shelving,3.7
SPL-00239,Modern Home Furnishings Corp.,Sarah Alice,Batu Pahat,Shelving,2.8
SPL-00240,Luxury Living Spaces Co.,Sarah Brown,Muar,Sofas,3.2
SPL-00241,Modern Home Furnishings Inc.,Jeff Garcia,Kulai,Shelving,3.1
SPL-00242,Plastic Outdoor Living Designs Inc.,Sarah Brown,Kuala Lumpur,Office Furniture,5.0
SPL-00243,Fabric Contemporary Style Co. Ltd.,John Johnson,Muar,Outdoor Furniture,3.6
SPL-00244,Modern Home Furnishings Inc.,John Smith,Batu Pahat,Office Furniture,4.0
SPL-00245,Outdoor Living Designs Sdn Bhd,Jeff Smith,Johor Baharu,Shelving,2.8
SPL-00246,Classic Comfort Interiors Sdn Bhd,Michael Alice,Johor Baharu,Shelving,2.6
SPL-00247,Heritage Furniture Makers Inc.,Jeff Johnson,Muar,Outdoor Furniture,3.6
SPL-00248,Plastic Heritage Furniture Makers Corp.,Jane Williams,Johor Baharu,Shelving,3.4
SPL-00249,Rattan Luxury Living Spaces Co.,Robert Brown,Kulai,Outdoor Furniture,3.5
SPL-00250,Comfort Craft Furniture LLC,Sarah Lee,Kulai,Office Furniture,2.9
SPL-00251,Space Savers Furniture Co.,Sarah Williams,Muar,Dining Sets,4.3
SPL-00252,Classic Comfort Interiors Co.,Emma Jones,Muar,Bookcases,2.5
SPL-00253,Luxury Living Spaces Sdn Bhd,Michael Jones,Johor Baharu,Dining Sets,3.7
SPL-00254,Table Masters Inc. Co.,John Lee,Kuala Lumpur,Outdoor Furniture,4.1
SPL-00255,Premium Seating Solutions Ltd.,Maria Smith,Kulai,Recliners,2.8
SPL-00256,Comfort Craft Furniture Ltd.,Robert Garcia,Kuala Lumpur,Shelving,3.8
SPL-00257,Glass Premium Seating Solutions Ltd.,John Williams,Kulai,Beds,3.9
SPL-00258,Table Masters Inc. Ltd.,Sarah Williams,Muar,Wardrobes,3.8
SPL-00259,Heritage Furniture Makers Corp.,Jeff Lee,Kuala Lumpur,Beds,3.2
SPL-00260,Leather Classic Comfort Interiors Inc.,Jeff Brown,Muar,Cabinets,3.7
SPL-00261,Heritage Furniture Makers Sdn Bhd,Jane Garcia,Muar,Bookcases,3.4
SPL-00262,Office Pro Furnishings Inc.,Jeff Johnson,Batu Pahat,Wardrobes,3.6
SPL-00263,Classic Comfort Interiors Sdn Bhd,Maria Jones,Kulai,Recliners,3.2
SPL-00264,Metal Elegant Living Designs Co.,Maria Smith,Kulai,Beds,4.1
SPL-00265,Comfort Craft Furniture LLC,Emma Johnson,Kuala Lumpur,Chairs,4.9
SPL-00266,Space Savers Furniture Inc.,Emma Lee,Kuala Lumpur,Benches,4.9
SPL-00267,Luxury Living Spaces Corp.,Jane Brown,Kulai,Recliners,4.3
SPL-00268,Metal Space Savers Furniture LLC,Michael Williams,Johor Baharu,Bookcases,3.5
SPL-00269,Rattan Contemporary Style Co. Inc.,Jeff Smith,Johor Baharu,Desks,3.9
SPL-00270,Elegant Living Designs Corp.,Emma Williams,Kulai,Office Furniture,3.2
SPL-00271,Office Pro Furnishings LLC,Emma Jones,Kuala Lumpur,Chairs,4.3
SPL-00272,Office Pro Furnishings Corp.,Maria Williams,Kulai,Bookcases,4.1
SPL-00273,Artisan Woodworks Ltd.,Jane Garcia,Johor Baharu,Tables,5.0
SPL-00274,Wood Contemporary Style Co. Corp.,Jeff Garcia,Kuala Lumpur,Office Furniture,4.4
SPL-00275,Luxury Living Spaces Corp.,John Jones,Batu Pahat,Recliners,3.1
SPL-00276,Table Masters Inc. LLC,Robert Garcia,Kulai,Wardrobes,4.7
SPL-00277,Bedroom Bliss Creations Corp.,Jeff Alice,Kulai,Beds,3.0
SPL-00278,Wood Master Creations Ltd.,Sarah Garcia,Kulai,Wardrobes,3.7
SPL-00279,Rattan Heritage Furniture Makers Sdn Bhd,Maria Johnson,Kulai,Office Furniture,3.8
SPL-00280,Wood Luxury Living Spaces LLC,John Brown,Kulai,Outdoor Furniture,2.9
SPL-00281,Luxury Living Spaces Co.,Maria Lee,Johor Baharu,Wardrobes,3.8
SPL-00282,Office Pro Furnishings LLC,Michael Lee,Kulai,Chairs,3.9
SPL-00283,Fabric Table Masters Inc. Corp.,Jeff Smith,Kuala Lumpur,Dining Sets,2.7
SPL-00284,Plastic Artisan Woodworks Corp.,John Johnson,Muar,Chairs,3.2
SPL-00285,Glass Wood Master Creations Inc.,Michael Alice,Muar,Office Furniture,4.7
SPL-00286,Space Savers Furniture Ltd.,Robert Alice,Johor Baharu,Tables,5.0
SPL-00287,Artisan Woodworks Co.,Maria Smith,Johor Baharu,Desks,3.7
SPL-00288,Bedroom Bliss Creations Co.,Michael Brown,Kuala Lumpur,Office Furniture,3.4
SPL-00289,Glass Classic Comfort Interiors Inc.,Jane Smith,Muar,Dining Sets,4.4
SPL-00290,Space Savers Furniture LLC,Jane Johnson,Kulai,Chairs,3.6
SPL-00291,Metal Table Masters Inc. Sdn Bhd,John Garcia,Muar,Beds,3.8
SPL-00292,Office Pro Furnishings LLC,Jeff Brown,Kulai,Cabinets,3.9
SPL-00293,Metal Office Pro Furnishings Sdn Bhd,Jeff Williams,Kulai,Beds,3.5
