SKU,ItemName,Category,Material,Color,WarehouseLocation,Quantity,Supplier,LastUpdated,Description
DRS-P-OAK-0001,Minimal Plastic Dresser,Dresser,Plastic,Oak,B3-R1,350,Nova Supplies,12/10/2025,"Minimal Plastic Dresser - Plastic Oak design, sourced from Nova Supplies."
BED-L-BRN-0001,Stylish Brown Leather Bed,Bed,Leather,Brown,B4-R3,33,Classic Interiors,23/01/2025,"Stylish Brown Leather Bed - Leather Brown design, sourced from Classic Interiors."
CNS-G-GRY-0001,Cozy Glass Console,Console,Glass,Grey,C3-R3,452,ComfortLine,28/08/2025,"Cozy Glass Console - Glass Grey design, sourced from ComfortLine."
CAB-F-GRY-0001,Minimal Fabric Cabinet,Cabinet,Fabric,Grey,D3-R1,134,EverWood,15/01/2025,"Minimal Fabric Cabinet - Fabric Grey design, sourced from EverWood."
BSF-G-GRY-0001,Elegant Glass Bookshelf,Bookshelf,Glass,Grey,D2-R2,252,FurniWorld,16/10/2025,"Elegant Glass Bookshelf - Glass Grey design, sourced from FurniWorld."
TAB-F-WHT-0001,Stylish Fabric Table,Table,Fabric,White,D5-R1,32,EverWood,28/04/2025,"Stylish Fabric Table - Fabric White design, sourced from EverWood."
BNH-C-BGE-0001,Deluxe Beige Composite Bench,Bench,Composite,Beige,D3-R3,440,Homedecor Co.,26/11/2024,"Deluxe Beige Composite Bench - Composite Beige design, sourced from Homedecor Co.."
CNS-W-BGE-0001,Deluxe Wood Console,Console,Wood,Beige,C1-R4,57,Global Furnish,01/04/2025,"Deluxe Wood Console - Wood Beige design, sourced from Global Furnish."
CHR-C-RED-0001,Deluxe Red Composite Chair,Chair,Composite,Red,D2-R1,390,Urban Living,23/02/2025,"Deluxe Red Composite Chair - Composite Red design, sourced from Urban Living."
TAB-R-BGE-0001,Vintage Rattan Table,Table,Rattan,Beige,B2-R2,78,Nova Supplies,19/08/2025,"Vintage Rattan Table - Rattan Beige design, sourced from Nova Supplies."
STL-L-NAT-0001,Premium Natural Leather Stool,Stool,Leather,Natural,D1-R3,9,FurniWorld,08/05/2025,"Premium Natural Leather Stool - Leather Natural design, sourced from FurniWorld."
CAB-M-RED-0001,Compact Metal Cabinet,Cabinet,Metal,Red,D4-R1,484,FurniWorld,27/09/2025,"Compact Metal Cabinet - Metal Red design, sourced from FurniWorld."
CNS-C-BLK-0001,Minimal Composite Console,Console,Composite,Black,A5-R1,65,ComfortLine,01/02/2025,"Minimal Composite Console - Composite Black design, sourced from ComfortLine."
CHR-R-BGE-0001,Vintage Beige Rattan Chair,Chair,Rattan,Beige,C4-R3,493,Classic Interiors,06/02/2025,"Vintage Beige Rattan Chair - Rattan Beige design, sourced from Classic Interiors."
CNS-M-OAK-0001,Stylish Metal Console,Console,Metal,Oak,C2-R4,224,ComfortLine,09/09/2025,"Stylish Metal Console - Metal Oak design, sourced from ComfortLine."
BED-M-BLK-0001,Premium Black Metal Bed,Bed,Metal,Black,A1-R3,301,Classic Interiors,12/01/2025,"Premium Black Metal Bed - Metal Black design, sourced from Classic Interiors."
BED-L-BLK-0001,Classic Black Leather Bed,Bed,Leather,Black,B3-R2,34,Homedecor Co.,24/05/2025,"Classic Black Leather Bed - Leather Black design, sourced from Homedecor Co.."
TAB-M-OAK-0001,Cozy Metal Table,Table,Metal,Oak,B2-R4,276,Urban Living,21/01/2025,"Cozy Metal Table - Metal Oak design, sourced from Urban Living."
BNH-C-GRY-0001,Cozy Grey Composite Bench,Bench,Composite,Grey,C4-R1,97,FurniWorld,21/09/2025,"Cozy Grey Composite Bench - Composite Grey design, sourced from FurniWorld."
WRD-P-BRN-0001,Stylish Plastic Wardrobe,Wardrobe,Plastic,Brown,C4-R1,239,Homedecor Co.,30/11/2024,"Stylish Plastic Wardrobe - Plastic Brown design, sourced from Homedecor Co.."
WRD-W-RED-0002,Stylish Wood Wardrobe,Wardrobe,Wood,Red,C1-R4,409,FurniWorld,05/07/2025,"Stylish Wood Wardrobe - Wood Red design, sourced from FurniWorld."
BED-M-BGE-0001,Cozy Beige Metal Bed,Bed,Metal,Beige,A5-R2,216,Urban Living,20/06/2025,"Cozy Beige Metal Bed - Metal Beige design, sourced from Urban Living."
DRS-M-BLK-0001,Cozy Metal Dresser,Dresser,Metal,Black,D3-R3,50,Homedecor Co.,11/12/2024,"Cozy Metal Dresser - Metal Black design, sourced from Homedecor Co.."
STL-L-BLK-0001,Compact Black Leather Stool,Stool,Leather,Black,B1-R2,208,ComfortLine,08/03/2025,"Compact Black Leather Stool - Leather Black design, sourced from ComfortLine."
BED-P-RED-0001,Elegant Red Plastic Bed,Bed,Plastic,Red,C3-R1,1,EverWood,27/06/2025,"Elegant Red Plastic Bed - Plastic Red design, sourced from EverWood."
DRS-R-BLU-0001,Minimal Rattan Dresser,Dresser,Rattan,Blue,D1-R3,79,Classic Interiors,11/06/2025,"Minimal Rattan Dresser - Rattan Blue design, sourced from Classic Interiors."
BED-L-NAT-0001,Minimal Natural Leather Bed,Bed,Leather,Natural,A2-R4,382,Nova Supplies,11/10/2025,"Minimal Natural Leather Bed - Leather Natural design, sourced from Nova Supplies."
SOF-C-BGE-0001,Minimal Beige Composite Sofa,Sofa,Composite,Beige,B1-R1,29,FurniWorld,06/08/2025,"Minimal Beige Composite Sofa - Composite Beige design, sourced from FurniWorld."
TAB-W-GRY-0001,Stylish Wood Table,Table,Wood,Grey,A4-R4,482,Classic Interiors,17/01/2025,"Stylish Wood Table - Wood Grey design, sourced from Classic Interiors."
BNH-L-NAT-0001,Modern Natural Leather Bench,Bench,Leather,Natural,C4-R2,336,Nova Supplies,29/06/2025,"Modern Natural Leather Bench - Leather Natural design, sourced from Nova Supplies."
BED-G-GRY-0001,Deluxe Grey Glass Bed,Bed,Glass,Grey,C3-R3,67,Global Furnish,20/03/2025,"Deluxe Grey Glass Bed - Glass Grey design, sourced from Global Furnish."
DSK-W-RED-0001,Cozy Wood Desk,Desk,Wood,Red,D5-R4,288,FurniWorld,03/10/2025,"Cozy Wood Desk - Wood Red design, sourced from FurniWorld."
STL-M-BGE-0001,Deluxe Beige Metal Stool,Stool,Metal,Beige,A5-R1,477,Nova Supplies,05/10/2025,"Deluxe Beige Metal Stool - Metal Beige design, sourced from Nova Supplies."
BED-G-OAK-0001,Elegant Oak Glass Bed,Bed,Glass,Oak,C5-R1,426,Global Furnish,31/12/2024,"Elegant Oak Glass Bed - Glass Oak design, sourced from Global Furnish."
WRD-L-BGE-0001,Deluxe Leather Wardrobe,Wardrobe,Leather,Beige,A4-R2,480,Urban Living,27/06/2025,"Deluxe Leather Wardrobe - Leather Beige design, sourced from Urban Living."
TAB-W-BGE-0001,Elegant Wood Table,Table,Wood,Beige,B4-R3,144,Classic Interiors,18/05/2025,"Elegant Wood Table - Wood Beige design, sourced from Classic Interiors."
BED-R-BGE-0001,Cozy Beige Rattan Bed,Bed,Rattan,Beige,B4-R1,463,Homedecor Co.,23/09/2025,"Cozy Beige Rattan Bed - Rattan Beige design, sourced from Homedecor Co.."
WRD-P-OAK-0001,Classic Plastic Wardrobe,Wardrobe,Plastic,Oak,A1-R1,170,Urban Living,18/12/2024,"Classic Plastic Wardrobe - Plastic Oak design, sourced from Urban Living."
CAB-F-GRN-0001,Minimal Fabric Cabinet,Cabinet,Fabric,Green,C4-R3,287,Homedecor Co.,13/09/2025,"Minimal Fabric Cabinet - Fabric Green design, sourced from Homedecor Co.."
TAB-F-BGE-0001,Classic Fabric Table,Table,Fabric,Beige,C2-R4,298,Urban Living,03/04/2025,"Classic Fabric Table - Fabric Beige design, sourced from Urban Living."
CHR-L-OAK-0001,Premium Oak Leather Chair,Chair,Leather,Oak,A2-R2,460,Nova Supplies,25/07/2025,"Premium Oak Leather Chair - Leather Oak design, sourced from Nova Supplies."
WRD-M-BLK-0001,Premium Metal Wardrobe,Wardrobe,Metal,Black,D3-R4,452,EverWood,27/12/2024,"Premium Metal Wardrobe - Metal Black design, sourced from EverWood."
CNS-F-GRY-0001,Elegant Fabric Console,Console,Fabric,Grey,B1-R3,451,EverWood,28/10/2025,"Elegant Fabric Console - Fabric Grey design, sourced from EverWood."
CHR-G-BLU-0001,Compact Blue Glass Chair,Chair,Glass,Blue,B4-R3,81,FurniWorld,28/04/2025,"Compact Blue Glass Chair - Glass Blue design, sourced from FurniWorld."
SOF-C-GRY-0001,Compact Grey Composite Sofa,Sofa,Composite,Grey,C5-R3,179,Global Furnish,16/07/2025,"Compact Grey Composite Sofa - Composite Grey design, sourced from Global Furnish."
BED-L-GRY-0001,Stylish Grey Leather Bed,Bed,Leather,Grey,C1-R3,142,FurniWorld,20/06/2025,"Stylish Grey Leather Bed - Leather Grey design, sourced from FurniWorld."
DSK-P-BGE-0001,Premium Plastic Desk,Desk,Plastic,Beige,A1-R4,59,Global Furnish,10/08/2025,"Premium Plastic Desk - Plastic Beige design, sourced from Global Furnish."
BNH-R-RED-0003,Modern Red Rattan Bench,Bench,Rattan,Red,D5-R1,222,Nova Supplies,02/06/2025,"Modern Red Rattan Bench - Rattan Red design, sourced from Nova Supplies."
BSF-W-BLU-0001,Vintage Wood Bookshelf,Bookshelf,Wood,Blue,B2-R1,130,Homedecor Co.,12/11/2024,"Vintage Wood Bookshelf - Wood Blue design, sourced from Homedecor Co.."
BSF-L-BGE-0001,Minimal Leather Bookshelf,Bookshelf,Leather,Beige,B2-R2,186,EverWood,05/10/2025,"Minimal Leather Bookshelf - Leather Beige design, sourced from EverWood."
WRD-G-NAT-0001,Premium Glass Wardrobe,Wardrobe,Glass,Natural,A4-R4,368,Global Furnish,23/02/2025,"Premium Glass Wardrobe - Glass Natural design, sourced from Global Furnish."
CAB-P-BRN-0001,Stylish Plastic Cabinet,Cabinet,Plastic,Brown,B5-R2,283,Urban Living,03/08/2025,"Stylish Plastic Cabinet - Plastic Brown design, sourced from Urban Living."
BSF-P-WHT-0001,Vintage Plastic Bookshelf,Bookshelf,Plastic,White,D4-R1,154,EverWood,02/02/2025,"Vintage Plastic Bookshelf - Plastic White design, sourced from EverWood."
SOF-R-OAK-0001,Compact Oak Rattan Sofa,Sofa,Rattan,Oak,C4-R4,402,Nova Supplies,16/03/2025,"Compact Oak Rattan Sofa - Rattan Oak design, sourced from Nova Supplies."
DRS-C-GRY-0001,Minimal Composite Dresser,Dresser,Composite,Grey,D1-R1,406,Urban Living,07/12/2024,"Minimal Composite Dresser - Composite Grey design, sourced from Urban Living."
TAB-R-BGE-0002,Vintage Rattan Table,Table,Rattan,Beige,C1-R3,47,Classic Interiors,30/11/2024,"Vintage Rattan Table - Rattan Beige design, sourced from Classic Interiors."
CAB-M-GRY-0001,Elegant Metal Cabinet,Cabinet,Metal,Grey,A1-R4,23,Classic Interiors,11/03/2025,"Elegant Metal Cabinet - Metal Grey design, sourced from Classic Interiors."
BNH-W-GRN-0001,Stylish Green Wood Bench,Bench,Wood,Green,D4-R2,99,EverWood,01/03/2025,"Stylish Green Wood Bench - Wood Green design, sourced from EverWood."
BSF-M-WHT-0001,Classic Metal Bookshelf,Bookshelf,Metal,White,A4-R2,398,EverWood,20/07/2025,"Classic Metal Bookshelf - Metal White design, sourced from EverWood."
CHR-C-RED-0002,Minimal Red Composite Chair,Chair,Composite,Red,B3-R4,469,FurniWorld,21/03/2025,"Minimal Red Composite Chair - Composite Red design, sourced from FurniWorld."
CHR-C-BGE-0001,Minimal Beige Composite Chair,Chair,Composite,Beige,D5-R1,162,ComfortLine,31/12/2024,"Minimal Beige Composite Chair - Composite Beige design, sourced from ComfortLine."
CNS-P-BGE-0001,Cozy Plastic Console,Console,Plastic,Beige,B1-R1,380,ComfortLine,24/03/2025,"Cozy Plastic Console - Plastic Beige design, sourced from ComfortLine."
CAB-M-OAK-0001,Minimal Metal Cabinet,Cabinet,Metal,Oak,D1-R3,320,Classic Interiors,22/06/2025,"Minimal Metal Cabinet - Metal Oak design, sourced from Classic Interiors."
DRS-W-OAK-0001,Compact Wood Dresser,Dresser,Wood,Oak,B4-R3,171,Nova Supplies,06/02/2025,"Compact Wood Dresser - Wood Oak design, sourced from Nova Supplies."
TAB-F-WHT-0002,Compact Fabric Table,Table,Fabric,White,C3-R2,355,Urban Living,13/11/2024,"Compact Fabric Table - Fabric White design, sourced from Urban Living."
BED-W-BLU-0001,Stylish Blue Wood Bed,Bed,Wood,Blue,C1-R3,277,ComfortLine,11/04/2025,"Stylish Blue Wood Bed - Wood Blue design, sourced from ComfortLine."
SOF-M-BLU-0001,Stylish Blue Metal Sofa,Sofa,Metal,Blue,D4-R3,484,Homedecor Co.,19/01/2025,"Stylish Blue Metal Sofa - Metal Blue design, sourced from Homedecor Co.."
BSF-C-RED-0001,Premium Composite Bookshelf,Bookshelf,Composite,Red,B5-R3,385,EverWood,09/04/2025,"Premium Composite Bookshelf - Composite Red design, sourced from EverWood."
STL-M-GRN-0001,Compact Green Metal Stool,Stool,Metal,Green,B4-R3,223,ComfortLine,26/10/2025,"Compact Green Metal Stool - Metal Green design, sourced from ComfortLine."
BSF-G-BLU-0001,Elegant Glass Bookshelf,Bookshelf,Glass,Blue,C5-R4,470,Urban Living,26/12/2024,"Elegant Glass Bookshelf - Glass Blue design, sourced from Urban Living."
STL-L-BLU-0001,Vintage Blue Leather Stool,Stool,Leather,Blue,D4-R1,339,Homedecor Co.,28/09/2025,"Vintage Blue Leather Stool - Leather Blue design, sourced from Homedecor Co.."
WRD-P-WHT-0001,Cozy Plastic Wardrobe,Wardrobe,Plastic,White,B1-R4,25,Global Furnish,29/04/2025,"Cozy Plastic Wardrobe - Plastic White design, sourced from Global Furnish."
DSK-M-GRN-0001,Premium Metal Desk,Desk,Metal,Green,C1-R4,389,EverWood,20/06/2025,"Premium Metal Desk - Metal Green design, sourced from EverWood."
BSF-R-BLK-0001,Cozy Rattan Bookshelf,Bookshelf,Rattan,Black,A1-R3,383,Homedecor Co.,14/05/2025,"Cozy Rattan Bookshelf - Rattan Black design, sourced from Homedecor Co.."
BED-W-RED-0001,Classic Red Wood Bed,Bed,Wood,Red,B3-R4,102,Homedecor Co.,26/12/2024,"Classic Red Wood Bed - Wood Red design, sourced from Homedecor Co.."
CHR-M-WHT-0001,Cozy White Metal Chair,Chair,Metal,White,A4-R3,288,Classic Interiors,16/03/2025,"Cozy White Metal Chair - Metal White design, sourced from Classic Interiors."
CNS-R-BRN-0001,Elegant Rattan Console,Console,Rattan,Brown,D5-R2,310,FurniWorld,18/08/2025,"Elegant Rattan Console - Rattan Brown design, sourced from FurniWorld."
CAB-W-NAT-0002,Classic Wood Cabinet,Cabinet,Wood,Natural,B5-R4,294,EverWood,20/04/2025,"Classic Wood Cabinet - Wood Natural design, sourced from EverWood."
CNS-M-BLK-0001,Vintage Metal Console,Console,Metal,Black,B3-R4,52,Global Furnish,24/11/2024,"Vintage Metal Console - Metal Black design, sourced from Global Furnish."
BNH-W-NAT-0001,Classic Natural Wood Bench,Bench,Wood,Natural,C2-R1,272,EverWood,06/12/2024,"Classic Natural Wood Bench - Wood Natural design, sourced from EverWood."
DSK-W-BGE-0001,Premium Wood Desk,Desk,Wood,Beige,A1-R2,434,EverWood,04/03/2025,"Premium Wood Desk - Wood Beige design, sourced from EverWood."
TAB-P-BRN-0001,Cozy Plastic Table,Table,Plastic,Brown,A5-R4,222,Urban Living,15/02/2025,"Cozy Plastic Table - Plastic Brown design, sourced from Urban Living."
WRD-R-NAT-0001,Minimal Rattan Wardrobe,Wardrobe,Rattan,Natural,D1-R2,238,EverWood,10/01/2025,"Minimal Rattan Wardrobe - Rattan Natural design, sourced from EverWood."
CAB-G-GRY-0001,Modern Glass Cabinet,Cabinet,Glass,Grey,B4-R4,451,ComfortLine,08/07/2025,"Modern Glass Cabinet - Glass Grey design, sourced from ComfortLine."
DRS-P-BRN-0001,Classic Plastic Dresser,Dresser,Plastic,Brown,D1-R4,435,Nova Supplies,08/08/2025,"Classic Plastic Dresser - Plastic Brown design, sourced from Nova Supplies."
DRS-M-BRN-0001,Deluxe Metal Dresser,Dresser,Metal,Brown,C1-R4,143,Global Furnish,29/01/2025,"Deluxe Metal Dresser - Metal Brown design, sourced from Global Furnish."
SOF-M-BLK-0001,Compact Black Metal Sofa,Sofa,Metal,Black,C4-R1,250,Classic Interiors,21/11/2024,"Compact Black Metal Sofa - Metal Black design, sourced from Classic Interiors."
DRS-C-GRN-0001,Classic Composite Dresser,Dresser,Composite,Green,A3-R4,150,Classic Interiors,16/04/2025,"Classic Composite Dresser - Composite Green design, sourced from Classic Interiors."
CNS-M-OAK-0002,Vintage Metal Console,Console,Metal,Oak,C2-R4,242,Nova Supplies,06/04/2025,"Vintage Metal Console - Metal Oak design, sourced from Nova Supplies."
CNS-G-BRN-0001,Cozy Glass Console,Console,Glass,Brown,B4-R3,156,Global Furnish,14/07/2025,"Cozy Glass Console - Glass Brown design, sourced from Global Furnish."
TAB-M-BRN-0001,Modern Metal Table,Table,Metal,Brown,D3-R1,486,Urban Living,03/08/2025,"Modern Metal Table - Metal Brown design, sourced from Urban Living."
BED-C-OAK-0001,Vintage Oak Composite Bed,Bed,Composite,Oak,D2-R4,305,Global Furnish,19/09/2025,"Vintage Oak Composite Bed - Composite Oak design, sourced from Global Furnish."
BED-R-GRY-0001,Premium Grey Rattan Bed,Bed,Rattan,Grey,B1-R3,154,Homedecor Co.,12/11/2024,"Premium Grey Rattan Bed - Rattan Grey design, sourced from Homedecor Co.."
STL-F-OAK-0001,Classic Oak Fabric Stool,Stool,Fabric,Oak,A2-R3,283,Global Furnish,17/11/2024,"Classic Oak Fabric Stool - Fabric Oak design, sourced from Global Furnish."
CHR-C-BLK-0001,Classic Black Composite Chair,Chair,Composite,Black,D4-R2,145,ComfortLine,09/03/2025,"Classic Black Composite Chair - Composite Black design, sourced from ComfortLine."
DRS-G-WHT-0001,Classic Glass Dresser,Dresser,Glass,White,B4-R1,481,ComfortLine,12/09/2025,"Classic Glass Dresser - Glass White design, sourced from ComfortLine."
TAB-P-GRN-0001,Modern Plastic Table,Table,Plastic,Green,D4-R2,322,Homedecor Co.,24/08/2025,"Modern Plastic Table - Plastic Green design, sourced from Homedecor Co.."
CHR-R-BLK-0001,Compact Black Rattan Chair,Chair,Rattan,Black,A4-R4,285,EverWood,03/01/2025,"Compact Black Rattan Chair - Rattan Black design, sourced from EverWood."
BNH-M-BGE-0001,Stylish Beige Metal Bench,Bench,Metal,Beige,C5-R2,465,ComfortLine,10/06/2025,"Stylish Beige Metal Bench - Metal Beige design, sourced from ComfortLine."
BNH-P-OAK-0001,Vintage Oak Plastic Bench,Bench,Plastic,Oak,D5-R4,30,FurniWorld,26/07/2025,"Vintage Oak Plastic Bench - Plastic Oak design, sourced from FurniWorld."
WRD-M-OAK-0002,Modern Metal Wardrobe,Wardrobe,Metal,Oak,B1-R1,122,Urban Living,31/01/2025,"Modern Metal Wardrobe - Metal Oak design, sourced from Urban Living."
TAB-F-RED-0001,Stylish Fabric Table,Table,Fabric,Red,C5-R2,352,ComfortLine,13/06/2025,"Stylish Fabric Table - Fabric Red design, sourced from ComfortLine."
SOF-M-OAK-0001,Deluxe Oak Metal Sofa,Sofa,Metal,Oak,C5-R3,36,Classic Interiors,27/06/2025,"Deluxe Oak Metal Sofa - Metal Oak design, sourced from Classic Interiors."
WRD-M-BLU-0001,Modern Metal Wardrobe,Wardrobe,Metal,Blue,D3-R2,115,Urban Living,26/06/2025,"Modern Metal Wardrobe - Metal Blue design, sourced from Urban Living."
CHR-W-RED-0001,Elegant Red Wood Chair,Chair,Wood,Red,B5-R4,304,Global Furnish,30/03/2025,"Elegant Red Wood Chair - Wood Red design, sourced from Global Furnish."
TAB-C-OAK-0001,Stylish Composite Table,Table,Composite,Oak,B4-R3,256,ComfortLine,30/03/2025,"Stylish Composite Table - Composite Oak design, sourced from ComfortLine."
TAB-L-BLU-0001,Premium Leather Table,Table,Leather,Blue,D5-R2,128,Homedecor Co.,24/09/2025,"Premium Leather Table - Leather Blue design, sourced from Homedecor Co.."
BED-L-OAK-0001,Vintage Oak Leather Bed,Bed,Leather,Oak,A2-R2,390,Urban Living,14/03/2025,"Vintage Oak Leather Bed - Leather Oak design, sourced from Urban Living."
STL-C-OAK-0001,Elegant Oak Composite Stool,Stool,Composite,Oak,D4-R3,223,ComfortLine,24/09/2025,"Elegant Oak Composite Stool - Composite Oak design, sourced from ComfortLine."
DRS-G-BLU-0001,Premium Glass Dresser,Dresser,Glass,Blue,C1-R2,343,FurniWorld,19/08/2025,"Premium Glass Dresser - Glass Blue design, sourced from FurniWorld."
DSK-P-GRN-0001,Deluxe Plastic Desk,Desk,Plastic,Green,C3-R4,416,Homedecor Co.,22/03/2025,"Deluxe Plastic Desk - Plastic Green design, sourced from Homedecor Co.."
TAB-G-OAK-0001,Premium Glass Table,Table,Glass,Oak,A4-R3,496,EverWood,19/02/2025,"Premium Glass Table - Glass Oak design, sourced from EverWood."
SOF-C-BLU-0001,Classic Blue Composite Sofa,Sofa,Composite,Blue,B2-R1,265,Nova Supplies,26/12/2024,"Classic Blue Composite Sofa - Composite Blue design, sourced from Nova Supplies."
DRS-C-RED-0001,Compact Composite Dresser,Dresser,Composite,Red,B4-R3,281,Urban Living,15/06/2025,"Compact Composite Dresser - Composite Red design, sourced from Urban Living."
DRS-C-BLK-0001,Classic Composite Dresser,Dresser,Composite,Black,D5-R2,409,Classic Interiors,11/11/2024,"Classic Composite Dresser - Composite Black design, sourced from Classic Interiors."
CHR-R-BGE-0002,Classic Beige Rattan Chair,Chair,Rattan,Beige,D3-R3,208,FurniWorld,17/07/2025,"Classic Beige Rattan Chair - Rattan Beige design, sourced from FurniWorld."
TAB-C-BLK-0001,Elegant Composite Table,Table,Composite,Black,D1-R4,477,Global Furnish,22/02/2025,"Elegant Composite Table - Composite Black design, sourced from Global Furnish."
CNS-R-BLU-0001,Cozy Rattan Console,Console,Rattan,Blue,D1-R1,124,ComfortLine,31/01/2025,"Cozy Rattan Console - Rattan Blue design, sourced from ComfortLine."
CHR-P-GRY-0001,Vintage Grey Plastic Chair,Chair,Plastic,Grey,D2-R2,382,Urban Living,05/10/2025,"Vintage Grey Plastic Chair - Plastic Grey design, sourced from Urban Living."
CAB-P-BRN-0002,Minimal Plastic Cabinet,Cabinet,Plastic,Brown,B4-R3,420,Homedecor Co.,18/06/2025,"Minimal Plastic Cabinet - Plastic Brown design, sourced from Homedecor Co.."
CNS-R-NAT-0001,Vintage Rattan Console,Console,Rattan,Natural,D1-R3,443,Urban Living,26/03/2025,"Vintage Rattan Console - Rattan Natural design, sourced from Urban Living."
STL-C-BRN-0001,Premium Brown Composite Stool,Stool,Composite,Brown,D3-R3,390,EverWood,21/03/2025,"Premium Brown Composite Stool - Composite Brown design, sourced from EverWood."
DSK-M-GRY-0001,Vintage Metal Desk,Desk,Metal,Grey,C3-R2,119,EverWood,18/10/2025,"Vintage Metal Desk - Metal Grey design, sourced from EverWood."
DSK-C-BLU-0001,Stylish Composite Desk,Desk,Composite,Blue,A5-R4,253,Homedecor Co.,06/09/2025,"Stylish Composite Desk - Composite Blue design, sourced from Homedecor Co.."
STL-G-BLK-0001,Cozy Black Glass Stool,Stool,Glass,Black,A4-R1,269,ComfortLine,02/11/2025,"Cozy Black Glass Stool - Glass Black design, sourced from ComfortLine."
CNS-F-BLU-0001,Elegant Fabric Console,Console,Fabric,Blue,A3-R2,240,Global Furnish,20/05/2025,"Elegant Fabric Console - Fabric Blue design, sourced from Global Furnish."
BNH-P-BLK-0001,Premium Black Plastic Bench,Bench,Plastic,Black,D3-R1,194,Nova Supplies,24/12/2024,"Premium Black Plastic Bench - Plastic Black design, sourced from Nova Supplies."
CNS-C-BGE-0001,Classic Composite Console,Console,Composite,Beige,D5-R4,35,Classic Interiors,21/12/2024,"Classic Composite Console - Composite Beige design, sourced from Classic Interiors."
WRD-R-GRY-0001,Modern Rattan Wardrobe,Wardrobe,Rattan,Grey,C4-R4,500,FurniWorld,20/12/2024,"Modern Rattan Wardrobe - Rattan Grey design, sourced from FurniWorld."
CNS-W-GRN-0001,Elegant Wood Console,Console,Wood,Green,B5-R3,462,Homedecor Co.,17/10/2025,"Elegant Wood Console - Wood Green design, sourced from Homedecor Co.."
DSK-L-OAK-0001,Premium Leather Desk,Desk,Leather,Oak,C2-R4,220,Urban Living,07/07/2025,"Premium Leather Desk - Leather Oak design, sourced from Urban Living."
STL-P-NAT-0001,Elegant Natural Plastic Stool,Stool,Plastic,Natural,B1-R2,89,FurniWorld,01/01/2025,"Elegant Natural Plastic Stool - Plastic Natural design, sourced from FurniWorld."
BSF-M-GRN-0001,Vintage Metal Bookshelf,Bookshelf,Metal,Green,A5-R3,118,ComfortLine,18/12/2024,"Vintage Metal Bookshelf - Metal Green design, sourced from ComfortLine."
CAB-C-OAK-0001,Classic Composite Cabinet,Cabinet,Composite,Oak,C5-R4,461,Global Furnish,28/11/2024,"Classic Composite Cabinet - Composite Oak design, sourced from Global Furnish."
STL-F-BLK-0001,Cozy Black Fabric Stool,Stool,Fabric,Black,C2-R1,300,Global Furnish,17/12/2024,"Cozy Black Fabric Stool - Fabric Black design, sourced from Global Furnish."
BSF-R-GRN-0001,Deluxe Rattan Bookshelf,Bookshelf,Rattan,Green,B2-R2,196,ComfortLine,16/09/2025,"Deluxe Rattan Bookshelf - Rattan Green design, sourced from ComfortLine."
BED-P-NAT-0001,Premium Natural Plastic Bed,Bed,Plastic,Natural,D4-R2,151,Global Furnish,29/10/2025,"Premium Natural Plastic Bed - Plastic Natural design, sourced from Global Furnish."
WRD-P-OAK-0002,Classic Plastic Wardrobe,Wardrobe,Plastic,Oak,D4-R1,442,Homedecor Co.,03/01/2025,"Classic Plastic Wardrobe - Plastic Oak design, sourced from Homedecor Co.."
